"no","name","category","imageSrc","itemNumber","upc","bin","price","unitPrice","casePrice","unitsPerCase","averageUnitWeight","averageCaseWeight","onSale","volumePriceText"
60,"Coca-Cola Zero Sugar Cans, 12 fl oz, 35 Pack","Beverages & Mixers","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/4/4/441544.jpg","441544","4900005849","1039","20.85",,,,,,true,
61,"Driscoll Blueberries - 18 Oz","Fresh Produce","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/b/l/blueberries.png","650330","2060050330","4017",,"5.80","69.56",12,,,false,
62,"Frozen Frenched Lamb Rack, New Zealand - 16-20 oz","Fresh & Frozen Meats","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/2/0/20771560000.png","77156","20771560000","3027","367.62",,,,,22,false,"$16.71 per pound. Buy more than 15 LBS, price per pound drops to $15.81"
63,"Superior Angus Beef - Boneless Rib Eye","Fresh & Frozen Meats","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/b/o/boneless_beef_rib_eye_-_shutterstock.jpg","79748","20797480000","60010",,"308.28","934.95",,21,69,true,"$14.68 per pound. Buy more than 55 LBS, price per pound drops to $13.55"
64,"Chef's Quality - Extra Heavy Mayonnaise - gallon","Dry Groceries","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/m/a/mato.png","2010019","76069500326","3027",,"13.55","43.35",4,,,false,
65,"Beef Flank Steak, USDA Select","Fresh & Frozen Meats","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/2/0/20770190000.jpg","77019","20770190000","60010",,"90.84","526.50",,12,75,false,"$7.57 per pound. Buy more than 60 LBS, price per pound drops to $7.02"
66,"Fresh Ground Angus Beef Chuck, Fine Grind, 80/20","Fresh & Frozen Meats","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/g/r/ground_beef_-_shutterstock_3.jpg","79281","20792810000","319",,"41.20","247.20",,10,60,false,"$4.12 per pound. Buy more than 60 LBS, price per pound drops to $3.85"
67,"Superior Angus Beef- Outside Skirt Steak, USDA Choice","Fresh & Frozen Meats","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/o/u/outside_skirt_3.jpg","79747","20797470000","319",,"85.32","474.00",,9,50,false,"$9.48 per pound. Buy more than 60 LBS, price per pound drops to $8.79"
68,"barcel- Takis Blue Heat 20CT","Candy & Snacks","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/t/a/takis_blue_heat.png","234120","75752804811","1027","39.81",,,,,,false,
69,"Dawn Dish Washing Detergent - 1 gal w/pump","Janitorial Supplies","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/d/a/dawnlogo.png","2190095","3077208728","1000",,"28.07","112.27",4,,,false,
70,"Boneless, Skinless Chicken Thighs, Halal","Fresh & Frozen Meats","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/t/h/thighs.jpg","79502","20795020000","60003","64.00",,,,,40,true,"$1.60 per pound."
